player,team,league,season,position_group,cluster,archetype,pca_x,pca_y,goals_p90,assists_p90,xG_p90,xA_p90,shots_p90,key_passes_p90,xGChain_p90,xGBuildup_p90,shot_conversion,finishing_over_xG,creation_over_xA,discipline_p90,involvement_index
Alexander Meier,Eintracht Frankfurt,Bundesliga,1415,FWD,5,Clinical Poacher,3.420655815783081,-4.727925709685884,0.7741059299347642,0.08148483472997518,0.6272678583678587,0.05168965064185574,3.2593933891990075,0.896333182029727,0.5055640794614864,0.07804854273224221,0.23749999703125005,0.14683807156690554,0.029795184088119445,0.0,0.2918063110968643
Robert Lewandowski,Bayern Munich,Bundesliga,1415,FWD,5,Clinical Poacher,5.138186909973901,-1.9909532289593457,0.6137184113061699,0.18050541509004997,0.6397900123958435,0.1676538918126943,3.7545126338730395,1.1552346565763199,0.8417122576385058,0.17779141865828252,0.16346153688979292,-0.026071601089673657,0.01285152327735567,0.0,0.5097518381483941
Arjen Robben,Bayern Munich,Bundesliga,1415,DEF,3,Elite Complete Forward,10.1115527261185,-1.7108792718338353,0.9101725158178628,0.3747769182779435,0.5548900139144065,0.401866321613461,4.71148125835129,2.6769779876995967,1.1147462732437556,0.4607503727032304,0.19318181598657028,0.35528250190345634,-0.02708940333551746,0.0,0.787748322973493
Bas Dost,Wolfsburg,Bundesliga,1415,FWD,5,Clinical Poacher,6.282027138497004,-4.662168334165249,0.9399477800653082,0.23498694501632705,0.6663041414997934,0.15621852518291635,2.526109658925516,0.8812010438112264,0.934771687427215,0.14911718543748198,0.37209301460248806,0.27364363856551477,0.07876841983341071,0.05874673625408176,0.5419444364323485
Pierre-Emerick Aubameyang,Borussia Dortmund,Bundesliga,1415,FWD,5,Clinical Poacher,4.1918854656501745,-2.0785595971669997,0.5286343610394147,0.19823788538978054,0.5087035252703722,0.2107275427686076,3.370044051626269,1.5198237879883174,0.6889667858544111,0.08301705737434853,0.1568627435601692,0.019930835769042532,-0.012489657378827068,0.1321585902598537,0.3859919216143798
Thomas Müller,Bayern Munich,Bundesliga,1415,FWD,3,Elite Complete Forward,5.857665800033363,-0.04044499578088181,0.4911838788869925,0.3778337529899942,0.5319181020702612,0.24404973098122767,3.136020149816952,1.5113350119599769,0.8749918090799211,0.23956479037196546,0.15662650413703008,-0.04073422318326875,0.13378402200876655,0.03778337529899942,0.5572782997259433
Franco Di Santo,Werder Bremen,Bundesliga,1415,FWD,5,Clinical Poacher,1.4252319438726566,-3.4063547917202492,0.5084745760502067,0.07822685785387795,0.36836290708731845,0.06998229171404712,2.1121251620547046,0.9387222942465354,0.3728497343890106,0.09331061489797861,0.24074073628257897,0.1401116689628883,0.008244566139830836,0.3129074314155118,0.2330801746434946
Karim Bellarabi,Bayer Leverkusen,Bundesliga,1415,FWD,5,Clinical Poacher,3.3409177776681154,-1.0940613221442002,0.39545953848573434,0.19772976924286717,0.33311436565331703,0.1641512713883548,3.4273160002096974,1.4829732693215039,0.597065574063228,0.18320768016578481,0.11538461427514794,0.062345172832417306,0.03357849785451236,0.1647748077023893,0.3901366271145064
Raffael,Borussia M.Gladbach,Bundesliga,1415,FWD,5,Clinical Poacher,3.9028732462493347,-1.086411439640103,0.4526404021573176,0.0754400670262196,0.4108018972668566,0.16380861511010256,2.5272422453783565,1.5842414075506115,0.7659986803075164,0.30743544410335477,0.17910447493873918,0.04183850489046098,-0.08836854808388296,0.0377200335131098,0.5367170622054356
Shinji Okazaki,Mainz 05,Bundesliga,1415,FWD,5,Clinical Poacher,1.244887908650675,-2.4916107728383547,0.38751345518926683,0.09687836379731671,0.31752541605759427,0.1057102188662112,1.9052744880138952,0.8396124862434114,0.4058239638022937,0.0761032359255143,0.20338982706118938,0.06998803913167256,-0.008831855068894487,0.1291711517297556,0.24096359986390398
Max Kruse,Borussia M.Gladbach,Bundesliga,1415,FWD,3,Elite Complete Forward,5.45292873832416,0.7784334240459926,0.3828306263020763,0.313225057883517,0.38556930788613253,0.301170464858135,2.2621809736031784,2.6798143841145343,0.7369658218876384,0.34489874280357763,0.16923076662721898,-0.002738681584056213,0.012054593025382032,0.06960556841855933,0.540932282345608
Patrick Herrmann,Borussia M.Gladbach,Bundesliga,1415,FWD,5,Clinical Poacher,3.6054207950113617,-1.2212859541367496,0.4471544713427487,0.1626016259428177,0.38147807066187955,0.20859513800952265,2.0325203242852212,1.3821138205139505,0.6647790034092932,0.26748653871562883,0.2199999956000001,0.06567640068086916,-0.045993512066704934,0.20325203242852213,0.466132771062461
