algorithm,params,silhouette,davies_bouldin,calinski_harabasz,n_clusters,noise_pct,rank_sil,rank_dbi,rank_ch,composite_rank
KMeans,k=3,0.2845527887547191,1.7832858794621484,1786.456537663408,3,0.0,1.0,6.0,1.0,2.6666666666666665
KMeans,k=4,0.2144628289932221,1.7376918619856487,1546.046100364701,4,0.0,3.0,5.0,2.0,3.3333333333333335
KMeans,k=5,0.21731949111062823,1.6657817385667832,1374.963145229201,5,0.0,2.0,4.0,4.0,3.3333333333333335
KMeans,k=6,0.17862182354242018,1.638489198941319,1270.5561607273573,6,0.0,5.0,2.0,5.0,4.0
KMeans,k=7,0.18053901575934098,1.6639195665497617,1184.9492037865093,7,0.0,4.0,3.0,7.0,4.666666666666667
KMeans,k=8,0.17442447949258957,1.594907732646064,1117.124509199001,8,0.0,6.0,1.0,9.0,5.333333333333333
Agglomerative,k=3,0.1545219206727121,1.9613625930942016,1384.4662410379844,3,0.0,9.0,9.0,3.0,7.0
Agglomerative,k=4,0.16306513693961985,1.8747566418555532,1170.210697503849,4,0.0,8.0,7.0,8.0,7.666666666666667
Agglomerative,k=5,0.16722664009390117,2.0317402414340915,1056.0641827266268,5,0.0,7.0,11.0,10.0,9.333333333333334
Agglomerative,k=8,0.08555127224478463,1.9212307508167257,849.0902607915858,8,0.0,10.0,8.0,14.0,10.666666666666666
GaussianMixture,k=3,0.07789153750787722,2.1900564188770897,1186.6453255278857,3,0.0,12.0,14.0,6.0,10.666666666666666
Agglomerative,k=7,0.08187745543628257,1.9668998404684275,898.5864291336335,7,0.0,11.0,10.0,13.0,11.333333333333334
Agglomerative,k=6,0.0771204683282472,2.0833161065215227,958.6617142788001,6,0.0,13.0,12.0,12.0,12.333333333333334
GaussianMixture,k=4,0.07155910846703215,2.1617767905406784,995.7287333172909,4,0.0,14.0,13.0,11.0,12.666666666666666
GaussianMixture,k=5,0.029141437489791353,2.9240425176446494,804.9060585622146,5,0.0,15.0,16.0,15.0,15.333333333333334
GaussianMixture,k=6,0.019578384561245693,2.8219361008729895,695.8934927579929,6,0.0,16.0,15.0,16.0,15.666666666666666
GaussianMixture,k=7,0.009613714580295998,3.135567859660735,641.689571509045,7,0.0,18.0,17.0,17.0,17.333333333333332
GaussianMixture,k=8,0.010302767629083213,3.21968886668677,546.6943356117899,8,0.0,17.0,18.0,18.0,17.666666666666668
